Title,Rating,Description,Genre,Directors,Stars,Release Year
Champions,6.7,"A former minor-league basketball coach is ordered by the court to manage a team of players with intellectual disabilities. He soon realizes that despite his doubts, together, this team can go further than they ever imagined.","Comedy, Drama, Sport",[],[],2023
Hypnotic,5.4,A detective investigates a mystery involving his missing daughter and a secret government program.,"Action, Mystery, Thriller",[],[],2023
Asteroid City,7.1,"Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever.","Comedy, Drama, Romance",[],[],2023
 Black Mirror,5.3,A troubled starlet is dogged by invasive paparazzi while dealing with the consequences of a hit-and-run incident.,"Drama, Mystery, Sci-Fi",[],[],2011
Selfiee,5.9,"Bollywood superstar Vijay Kumar needs to obtain a new driving license from RTO officer Om Prakash Agarwal, a diehard fan of Vijay. A misunderstanding escalates into a feud which is played out in front of the entire country.","Action, Comedy, Drama",[],[],2023
Teen Wolf The Movie,5.6,"A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy.","Action, Drama, Fantasy",[],[],2023
Swarm,7.2,A young woman's obsession with a pop star takes a dark turn.,"Comedy, Drama, Thriller",[],[],2023
Magic Mike s Last Dance,5.3,"Mike takes to the stage again, following a business deal that went bust, leaving him broke and taking bartender gigs in Florida. Mike heads to London with a wealthy socialite who lures him with an offer he can't refuse.","Comedy, Drama",[],[],2023
Bloody Daddy,7.1,"A messed up, tenacious man faces off against cops and crime lords to save the one relationship that matters to him.","Action, Drama, Thriller",[],[],2023
BlackBerry,7.5,The story of the meteoric rise and catastrophic demise of the world's first smartphone.,"Biography, Comedy, Drama",[],[],2023
MH370 The Plane That Disappeared,6.1,"March 8th, 2014, Malaysia Airlines Flight 370 disappeared from radar. 239 people went missing, a global investigation into this greatest mystery Despite reports, countless theories, and searches for evidence, nothing. What Are We Missing?",Documentary,[],[],2023
The Rig,5.8,A group of workers on a remote Scottish oil rig are due to return to the mainland when a mysterious fog enshrouds them and supernatural forces take hold.,"Drama, Mystery, Sci-Fi",[],[],2023
Hunger,6.6,A woman running her family's noodle restaurant receives an invitation to join the fine-dining industry under the tutelage of an infamous chef.,"Drama, Thriller",[],[],2023
Pamela A Love Story,7.2,"Follows the life of pop culture icon Pamela Anderson, including never-before-seen archival footage and personal journals.","Documentary, Biography",[],[],2023
Will Trent,7.7,"Special Agent Will Trent was abandoned at birth and endured a harsh coming-of-age in Atlanta's overwhelmed foster care system. Determined to make sure no one feels as he did, he now has the highest clearance rate.","Crime, Drama",[],[],2023
 Queen Cleopatra,1.0,Add a Plot,Documentary,[],[],2023
Extraordinary,7.8,Jen is a self-aware young woman who lives in a world where everybody except her has a superpower.,"Action, Adventure, Comedy",[],[],2023
Bheed,7.4,The toughest times people had to face just to reach their homes.,"Drama, History",[],[],2023
A Good Person,7.0,"Follows Allison, whose life falls apart following her involvement in a fatal accident.",Drama,[],[],2023
Rana Naidu,7.2,"In the complicated world of celebrities, Rana Naidu is the go-to problem-solver. When his father is released from prison, Rana grapples with family secrets and personal conflict and realizes that the only problem he cant fix is his own.","Action, Crime, Drama",[],[],2023
Chhatriwali,6.9,"Sanya is an unemployed chemistry genius looking for a job. However, she also wants to use her knowledge of chemistry to help young minds move beyond the taboos of sex with the right education.","Comedy, Drama",[],[],2023
The Hatchet Wielding Hitchhiker,6.2,This shocking documentary chronicles a happy-go-lucky nomad's ascent to viral stardom and the steep downward spiral that resulted in his imprisonment.,"Documentary, Crime",[],[],2023
Chris Rock Selective Outrage,6.8,"Comedian Chris Rock performs a live stand-up special in Baltimore, Maryland.","Documentary, Comedy",[],[],2023
Kranti,7.5,"When corrupt forces try to take over thousands of government schools in an Indian state, NRI businessman Kranti Rayanna must bring about a revolution to protect the interests of the students","Action, Drama",[],[],2023
Blood Gold,6.5,"At the end of World War II, a German soldier is looking for his daughter while an SS troop is looking for a Jewish treasure.","Action, Drama, War",[],[],2023
Elemental,7.1,"Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together.","Animation, Adventure, Comedy",[],[],2023
 Succession,9.4,"As the family girds themselves for an emotional funeral, Kendall finds himself at odds with Rava and inopportune news from Jess. Shiv tries to reposition herself in a new political landscape, and Kendall rallies supporters to his side.","Comedy, Drama",[],[],2018
Kuttey,5.6,"A van carrying crores of cash. One rainy night in the outskirts of Mumbai. Unaware of each other, three stray gangs cross paths on the hunt. Unfortunately, all of them have the same plan. Will they bite the bone or will they lose to greed?","Action, Comedy, Crime",[],[],2023
